"begin","end","id","nVehContrib","flow","occupancy","speed","length","nVehEntered","begin_label","end_label"
25200,25500,"1_W_0",4,48,0.54,12.48,5,4,"07:00","07:05"
25200,25500,"1_W_1",2,24,0.26,12.25,4.75,2,"07:00","07:05"
25200,25500,"1_E_0",2,24,0.24,12.4,4.5,2,"07:00","07:05"
25200,25500,"1_E_1",0,0,0,-1,-1,0,"07:00","07:05"
25200,25500,"2_W_0",18,216,1.9,23.72,6.53,18,"07:00","07:05"
25200,25500,"2_W_1",17,204,1.18,24.11,5,18,"07:00","07:05"
25200,25500,"2_W_2",16,192,1.06,24.99,4.91,16,"07:00","07:05"
25200,25500,"2_W_3",3,36,0.28,25.47,7,3,"07:00","07:05"
25200,25500,"2_E_0",10,120,1.12,20.98,5.05,10,"07:00","07:05"
25200,25500,"2_E_1",6,72,0.41,23.93,4.83,7,"07:00","07:05"
25200,25500,"2_E_2",1,12,0.1,22.52,7,1,"07:00","07:05"
25200,25500,"2_E_3",4,48,0.26,25.27,4.88,4,"07:00","07:05"
25200,25500,"3_W_0",6,72,0.85,12.45,5.25,6,"07:00","07:05"
25200,25500,"3_W_1",1,12,0.1,14.65,4.5,1,"07:00","07:05"
25200,25500,"3_E_0",10,120,1.44,13.06,5.5,10,"07:00","07:05"
25200,25500,"3_E_1",7,84,0.96,11.78,4.79,7,"07:00","07:05"
25200,25500,"4_W_0",5,60,0.49,20.79,6.1,5,"07:00","07:05"
25200,25500,"4_W_1",26,312,1.9,23.58,5.13,26,"07:00","07:05"
25200,25500,"4_W_2",14,168,0.94,24.88,4.96,14,"07:00","07:05"
25200,25500,"4_W_3",11,132,0.77,24.85,5.23,11,"07:00","07:05"
25200,25500,"4_E_0",11,132,1,21.67,5.5,11,"07:00","07:05"
25200,25500,"4_E_1",7,84,0.54,24.18,5.5,7,"07:00","07:05"
25200,25500,"4_E_2",6,72,0.38,25.45,4.83,6,"07:00","07:05"
25200,25500,"4_E_3",0,0,0,-1,-1,0,"07:00","07:05"
25200,25500,"5_W_0",22,264,1.55,24.03,5.05,23,"07:00","07:05"
25200,25500,"5_W_1",10,120,0.71,24.24,5.15,10,"07:00","07:05"
25200,25500,"5_W_2",15,180,1.17,23.41,5.4,15,"07:00","07:05"
25200,25500,"5_E_0",18,216,1.67,22.68,5.75,19,"07:00","07:05"
25200,25500,"5_E_1",16,192,1.54,23.06,5.5,17,"07:00","07:05"
25200,25500,"5_E_2",14,168,1.22,23.53,4.89,14,"07:00","07:05"
25200,25500,"6_W_0",20,240,1.6,21.48,5,20,"07:00","07:05"
25200,25500,"6_W_1",11,132,0.83,21.82,4.82,11,"07:00","07:05"
25200,25500,"6_W_2",8,96,0.77,19.85,5.69,8,"07:00","07:05"
25200,25500,"6_E_0",15,180,1.1,23.43,5.13,15,"07:00","07:05"
25200,25500,"6_E_1",5,60,0.36,21.99,4.7,5,"07:00","07:05"
25200,25500,"6_E_2",11,132,0.87,22.19,5.23,11,"07:00","07:05"
25200,25500,"7_W_0",24,288,2.58,18.52,5.81,24,"07:00","07:05"
25200,25500,"7_W_1",22,264,3.08,16.28,4.98,22,"07:00","07:05"
25200,25500,"7_W_2",9,108,0.93,17.63,5.06,12,"07:00","07:05"
25200,25500,"7_E_0",12,144,16.07,5.19,5.21,12,"07:00","07:05"
25200,25500,"7_E_1",5,60,1.2,8.74,4.7,5,"07:00","07:05"
25200,25500,"7_E_2",2,24,0.12,25.41,4.75,2,"07:00","07:05"
25200,25500,"8_W_0",21,252,2.24,16.57,5.24,22,"07:00","07:05"
25200,25500,"8_W_1",42,504,5.19,15.71,4.95,42,"07:00","07:05"
25200,25500,"8_W_2",19,228,2.65,14.11,5.18,19,"07:00","07:05"
25200,25500,"8_E_0",29,348,2.84,17.91,4.91,30,"07:00","07:05"
25200,25500,"8_E_1",15,180,1.54,20.09,5.1,15,"07:00","07:05"
25200,25500,"8_E_2",17,204,1.31,21.98,4.91,17,"07:00","07:05"
25200,25500,"9_W_0",9,108,0.67,21.86,4.89,9,"07:00","07:05"
25200,25500,"9_W_1",20,240,1.86,19.34,5.22,20,"07:00","07:05"
25200,25500,"9_W_2",16,192,1.39,18.98,4.81,16,"07:00","07:05"
25200,25500,"9_E_0",20,240,1.76,18.68,4.8,20,"07:00","07:05"
25200,25500,"9_E_1",6,72,0.43,23.25,5,6,"07:00","07:05"
25200,25500,"9_E_2",4,48,0.39,17.88,5.12,4,"07:00","07:05"
25200,25500,"10_W_0",8,96,0.57,23.96,5,8,"07:00","07:05"
25200,25500,"10_W_1",5,60,0.39,23.22,5.5,5,"07:00","07:05"
25200,25500,"10_W_2",6,72,0.39,25.6,5,6,"07:00","07:05"
25200,25500,"10_E_0",11,132,0.74,24.29,4.91,11,"07:00","07:05"
25200,25500,"10_E_1",5,60,0.37,22.96,5.1,5,"07:00","07:05"
25200,25500,"10_E_2",5,60,0.39,22.54,5.3,5,"07:00","07:05"
25200,25500,"11_W_0",12,144,0.96,21.89,4.75,12,"07:00","07:05"
25200,25500,"11_W_1",10,120,0.7,23.48,4.9,10,"07:00","07:05"
25200,25500,"11_W_2",7,84,0.46,23.84,4.64,7,"07:00","07:05"
25200,25500,"11_E_0",6,72,0.48,23.15,5.5,6,"07:00","07:05"
25200,25500,"11_E_1",7,84,0.67,19.65,5.43,7,"07:00","07:05"
25200,25500,"11_E_2",2,24,0.16,20.4,4.75,2,"07:00","07:05"
25200,25500,"12_W_0",19,228,3.34,13.81,5.16,19,"07:00","07:05"
25200,25500,"12_W_1",11,132,1.48,15.06,5.23,12,"07:00","07:05"
25200,25500,"12_W_2",14,168,1.09,20.64,4.71,14,"07:00","07:05"
25200,25500,"12_E_0",14,168,1.23,20.98,5.43,14,"07:00","07:05"
25200,25500,"12_E_1",14,168,1.29,19.17,5.07,14,"07:00","07:05"
25200,25500,"12_E_2",12,144,0.94,21.76,5.08,13,"07:00","07:05"
25200,25500,"13_W_0",8,96,1,23.45,8.75,8,"07:00","07:05"
25200,25500,"13_W_1",13,156,0.95,22.8,4.96,13,"07:00","07:05"
25200,25500,"13_W_2",15,180,1.11,24.2,5.3,15,"07:00","07:05"
25200,25500,"13_E_0",11,132,0.79,23.6,5.05,11,"07:00","07:05"
25200,25500,"13_E_1",6,72,0.42,24.39,5.08,6,"07:00","07:05"
25200,25500,"13_E_2",8,96,0.62,23.85,5.44,8,"07:00","07:05"
25200,25500,"14_W_0",29,348,2.61,18.2,4.88,30,"07:00","07:05"
25200,25500,"14_W_1",7,84,0.66,18.98,5.29,7,"07:00","07:05"
25200,25500,"14_E_0",48,576,4.45,18.74,5.17,48,"07:00","07:05"
25200,25500,"14_E_1",13,156,1.07,20.46,5,13,"07:00","07:05"
25200,25500,"15_W_0",18,216,1.33,23.27,5.11,18,"07:00","07:05"
25200,25500,"15_W_1",14,168,1.11,22.68,5.32,14,"07:00","07:05"
25200,25500,"15_W_2",23,276,1.64,24.05,5.11,23,"07:00","07:05"
25200,25500,"15_E_0",25,300,1.96,22.5,5.24,25,"07:00","07:05"
25200,25500,"15_E_1",16,192,1.22,22.64,5.03,16,"07:00","07:05"
25200,25500,"15_E_2",35,420,2.37,23.98,4.84,35,"07:00","07:05"
25200,25500,"16_W_0",19,228,1.57,21.72,5.29,19,"07:00","07:05"
25200,25500,"16_W_1",9,108,0.68,22.08,4.94,9,"07:00","07:05"
25200,25500,"16_W_2",4,48,0.29,23.93,5.12,4,"07:00","07:05"
25200,25500,"16_E_0",12,144,0.98,20.63,5.04,12,"07:00","07:05"
25200,25500,"16_E_1",9,108,0.68,22.71,5.11,9,"07:00","07:05"
25200,25500,"16_E_2",6,72,0.51,19.67,4.92,6,"07:00","07:05"
25200,25500,"17_W_0",11,132,0.56,34.29,5.18,11,"07:00","07:05"
25200,25500,"17_W_1",1,12,0.05,36.92,6,1,"07:00","07:05"
25200,25500,"17_W_2",7,84,0.37,33.62,5.21,7,"07:00","07:05"
25200,25500,"17_E_0",39,468,2.07,33.1,5.1,39,"07:00","07:05"
25200,25500,"17_E_1",6,72,0.29,33.99,4.83,6,"07:00","07:05"
25200,25500,"17_E_2",4,48,0.16,38.81,4.75,4,"07:00","07:05"
25200,25500,"18_W_0",14,168,0.98,23.68,5,14,"07:00","07:05"
25200,25500,"18_W_1",6,72,0.46,23.79,5.5,6,"07:00","07:05"
25200,25500,"18_W_2",1,12,0.07,25.58,5.5,1,"07:00","07:05"
25200,25500,"18_E_0",10,120,0.71,23.77,5.05,10,"07:00","07:05"
25200,25500,"18_E_1",13,156,1.01,23.63,5.5,13,"07:00","07:05"
25200,25500,"18_E_2",13,156,0.87,25.04,5,13,"07:00","07:05"
25200,25500,"19_W_0",9,108,0.6,24.29,4.83,9,"07:00","07:05"
25200,25500,"19_W_1",5,60,0.36,24.75,5.3,5,"07:00","07:05"
25200,25500,"19_W_2",1,12,0.06,24.69,4.5,1,"07:00","07:05"
25200,25500,"19_E_0",17,204,1.23,23.88,5.03,17,"07:00","07:05"
25200,25500,"19_E_1",9,108,0.61,24.85,5.06,9,"07:00","07:05"
25200,25500,"19_E_2",7,84,0.49,23.95,5,7,"07:00","07:05"
25200,25500,"20_W_0",8,96,0.61,22.76,5.19,8,"07:00","07:05"
25200,25500,"20_W_1",11,132,0.72,24.78,4.82,11,"07:00","07:05"
25200,25500,"20_W_2",5,60,0.35,24.08,5,5,"07:00","07:05"
25200,25500,"20_E_0",13,156,0.92,24.02,5.04,13,"07:00","07:05"
25200,25500,"20_E_1",8,96,0.57,23.97,5.06,8,"07:00","07:05"
25200,25500,"20_E_2",3,36,0.19,26.35,4.83,3,"07:00","07:05"
25200,25500,"21_W_0",5,60,0.46,19.14,5.2,5,"07:00","07:05"
25200,25500,"21_W_1",11,132,0.98,19.11,5.05,11,"07:00","07:05"
25200,25500,"21_E_0",3,36,0.33,18.09,6,3,"07:00","07:05"
25200,25500,"21_E_1",1,12,0.09,19.46,5,1,"07:00","07:05"
