"begin","end","id","nVehContrib","flow","occupancy","speed","length","nVehEntered","begin_label","end_label"
25200,25500,"1_W_0",6,72,0.78,13.33,5.17,6,"07:00","07:05"
25200,25500,"1_W_1",3,36,0.42,12.06,5,3,"07:00","07:05"
25200,25500,"1_E_0",3,36,0.52,13.47,7.17,3,"07:00","07:05"
25200,25500,"1_E_1",1,12,0.12,13.84,5,1,"07:00","07:05"
25200,25500,"2_W_0",10,120,1.04,23.28,7.05,10,"07:00","07:05"
25200,25500,"2_W_1",21,252,1.58,23.42,5.21,21,"07:00","07:05"
25200,25500,"2_W_2",9,108,0.6,25.47,5.11,9,"07:00","07:05"
25200,25500,"2_W_3",1,12,0.06,25.62,4.5,1,"07:00","07:05"
25200,25500,"2_E_0",7,84,0.49,23.24,4.86,7,"07:00","07:05"
25200,25500,"2_E_1",6,72,0.45,23.5,5.33,6,"07:00","07:05"
25200,25500,"2_E_2",4,48,0.25,25.26,4.75,4,"07:00","07:05"
25200,25500,"2_E_3",2,24,0.12,25.32,4.5,2,"07:00","07:05"
25200,25500,"3_W_0",6,72,0.72,14.27,5.08,6,"07:00","07:05"
25200,25500,"3_W_1",1,12,0.18,11.38,6,1,"07:00","07:05"
25200,25500,"3_E_0",11,132,1.54,13.31,5.45,11,"07:00","07:05"
25200,25500,"3_E_1",5,60,0.62,12.64,4.6,5,"07:00","07:05"
25200,25500,"4_W_0",1,12,0.17,23.93,12,1,"07:00","07:05"
25200,25500,"4_W_1",27,324,1.91,23.35,4.91,27,"07:00","07:05"
25200,25500,"4_W_2",12,144,0.88,24.25,5.38,12,"07:00","07:05"
25200,25500,"4_W_3",8,96,0.53,24.58,4.81,8,"07:00","07:05"
25200,25500,"4_E_0",11,132,1.32,21.3,6.32,11,"07:00","07:05"
25200,25500,"4_E_1",3,36,0.23,24.83,5.67,4,"07:00","07:05"
25200,25500,"4_E_2",1,12,0.05,28.44,4.5,1,"07:00","07:05"
25200,25500,"4_E_3",2,24,0.12,27.02,4.75,2,"07:00","07:05"
25200,25500,"5_W_0",18,216,1.25,23.11,4.75,18,"07:00","07:05"
25200,25500,"5_W_1",7,84,0.54,22.41,5.07,7,"07:00","07:05"
25200,25500,"5_W_2",23,276,1.89,22.11,5.41,23,"07:00","07:05"
25200,25500,"5_E_0",20,240,1.66,24,5.92,20,"07:00","07:05"
25200,25500,"5_E_1",8,96,0.65,23.63,5.69,9,"07:00","07:05"
25200,25500,"5_E_2",21,252,1.67,24.33,4.83,21,"07:00","07:05"
25200,25500,"6_W_0",21,252,1.8,20.39,5.12,21,"07:00","07:05"
25200,25500,"6_W_1",13,156,1.12,20.53,5.15,13,"07:00","07:05"
25200,25500,"6_W_2",8,96,0.72,19.13,5.12,8,"07:00","07:05"
25200,25500,"6_E_0",10,120,0.8,23.27,5.5,10,"07:00","07:05"
25200,25500,"6_E_1",5,60,0.33,23.83,4.7,5,"07:00","07:05"
25200,25500,"6_E_2",16,192,1.21,22.28,5.03,16,"07:00","07:05"
25200,25500,"7_W_0",25,300,2.93,17.53,5.74,25,"07:00","07:05"
25200,25500,"7_W_1",17,204,1.86,16.58,5.18,17,"07:00","07:05"
